CustomerId,Last Name,CreditScore,State,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Estimated Income,Left
15759436,Aksenov,758,NY,Female,50,2,95813.76,3,1,1,67944.09,0
15810444,Aksenov,562,NJ,Female,39,6,130565.02,1,1,0,9854.72,0
15642833,Akubundu,608,NY,Female,30,8,0,2,1,0,128875.86,1
15635034,Aldrich,727,NJ,Male,37,9,101191.83,1,1,1,34551.35,0
15615456,Aleksandrova,680,NY,Female,37,10,123806.28,1,1,0,81776.84,0
15664907,Alexander,527,NY,Male,47,1,0,1,1,0,21312.16,0
15738715,Alexander,600,NY,Female,37,4,0,3,1,0,7312.25,0
15614168,Alexander,792,NJ,Female,50,4,146710.76,1,1,0,16528.4,0
15637476,Alexandrova,683,NJ,Female,57,5,162448.69,1,0,0,9221.78,0
15759618,Alexeeva,535,NY,Female,48,9,0,1,1,0,149892.79,0
15574331,Alexeeva,593,NJ,Female,62,3,118233.81,1,0,1,24765.53,0
15586976,Alexeeva,566,NY,Female,42,6,0,1,1,0,180702.12,0
15654577,Alexeeva,549,NJ,Male,54,5,92877.33,1,1,0,2619.64,0
15578603,Alexeieva,584,NJ,Female,54,1,77354.37,1,0,0,138192.98,0
15743893,Alexeyeva,471,NY,Male,42,3,164951.56,1,1,0,190531.77,1
15654000,Algarin,705,NY,Female,35,5,0,1,1,0,133991.11,0
15661626,Algeranoff,732,NJ,Female,45,6,98792.4,1,1,0,81491.7,0
15677804,Aliyeva,783,CT,Male,38,1,0,3,1,1,80178.54,0
15657317,Allan,789,NY,Female,32,7,69423.52,1,1,0,107499.39,1
15619238,Allan,567,CT,Male,29,8,0,2,1,0,156125.72,1
15778368,Allan,552,NJ,Male,50,4,121175.56,1,1,0,117505.07,0
15639357,Allan,415,NY,Male,46,9,134950.19,3,0,0,178587.36,0
15784958,Allan,797,NY,Female,55,10,0,4,1,1,49418.87,0
15644179,Allen,606,NY,Female,39,3,0,2,1,0,50560.45,0
15700460,Allnutt,530,NY,Female,55,4,120905.03,1,0,1,123475.88,0
15810390,Amadi,718,NY,Female,41,1,0,2,0,1,27509.52,0
15728706,Amaechi,534,NY,Female,49,7,0,1,1,0,13566.48,0
15600392,Amaechi,735,NY,Female,53,8,123845.36,2,0,1,170454.93,0
15688880,Amechi,672,NJ,Male,40,10,102980.44,1,1,0,1285.81,0
15576935,Ampt,743,CT,Male,43,2,161807.18,2,0,1,93228.86,0
15578799,Anayolisa,625,NY,Female,58,10,53772.73,1,1,1,192072.1,0
15594084,Anderson,524,NY,Male,22,9,0,2,1,0,74405.34,1
15613048,Anderson,648,NJ,Female,40,5,139973.65,1,1,1,667.66,0
15782231,Andrejew,521,NY,Male,38,6,0,2,1,0,51454.06,1
15663438,Andrejew,688,CT,Male,36,0,89772.3,1,1,0,177383.68,0
15651554,Anenechukwu,618,NJ,Female,54,4,118449.21,1,1,1,133573.29,0
15710689,Angel,578,CT,Male,40,6,63609.92,1,0,0,74965.61,0
15657107,Angelo,563,CT,Female,46,8,106171.68,1,1,0,163145.5,0
15621210,Angelo,599,NJ,Male,46,9,123444.72,1,1,1,31368.08,0
15627995,Angelo,756,NJ,Female,26,5,155143.52,1,0,1,135034.57,0
15690733,Angelo,608,CT,Male,45,4,0,2,0,0,36697.48,0
15677317,Ankudinova,570,NY,Female,29,4,153040.03,1,1,1,131363.57,0
15750258,Ann,675,NY,Female,32,2,155663.31,1,1,0,97658.66,1
15799635,Arbour,577,CT,Male,51,2,108867,1,0,0,140800.66,0
15628936,Archer,692,CT,Male,28,9,118945.09,1,0,0,16064.25,0
15603914,Arcuri,614,NY,Male,40,6,0,1,1,1,20339.79,0
15701738,Arcuri,612,NJ,Male,44,2,115163.38,1,1,1,97677.52,0
15675926,Ardis,655,NJ,Male,34,7,118028.35,1,1,0,51226.32,0
15718944,Artemiev,573,NY,Female,37,6,0,2,1,0,193995.37,1
15583371,Artemiev,632,CT,Male,37,1,138207.08,1,1,0,60778.11,0
15600991,Artemieva,694,NJ,Male,31,6,109052.59,2,1,1,19448.93,0
15676242,Artemova,632,CT,Male,31,3,136556.44,1,1,0,82152.83,0
15629750,Artyomova,697,NY,Male,35,5,133087.76,1,1,0,64771.61,1
15625426,Ashbolt,754,NJ,Female,55,3,161608.81,1,1,0,8080.85,0
15793049,Atkins,680,NJ,Female,48,8,115115.38,1,1,0,139558.6,0
15788131,Atkins,653,NY,Male,47,6,0,1,1,0,50695.93,0
15769412,Atkinson,684,CT,Male,39,4,207034.96,2,0,0,157694.76,0
15675316,Avdeeva,619,NY,Female,38,3,0,2,0,1,116467.35,1
15737705,Avdeyeva,775,NY,Female,27,4,152309.37,1,1,0,104112,1
15673747,Ayers,519,NY,Female,22,8,0,1,0,1,167553.06,1
15701602,Ayers,521,NJ,Male,52,5,116497.31,3,0,0,53793.1,0
15589475,Azikiwe,591,CT,Female,39,3,0,3,1,0,140469.38,0
15685372,Azubuike,350,CT,Male,54,1,152677.48,1,1,1,191973.49,0
15682995,Azuka,600,NY,Female,32,1,78535.25,1,1,0,64349.6,1
15729954,Azuka,586,NY,Female,28,5,0,3,1,0,170487.4,0
15765694,Bage,584,CT,Female,59,1,0,1,0,1,130260.11,0
15596649,Bailey,651,NY,Female,39,8,0,1,1,0,137452.57,1
15807525,Bailey,447,NY,Male,43,2,0,2,1,0,33879.26,0
15672447,Bailey,657,NJ,Male,40,7,99165.84,1,0,1,119333.95,0
15698716,Baker,620,NY,Female,70,3,87926.24,2,1,0,33350.26,0
15773972,Balashov,614,NY,Male,50,4,137104.47,1,1,0,127166.49,0
15680706,Balashov,537,NJ,Male,48,4,131834.8,1,1,0,166476.95,0
15700656,Balashova,662,NY,Male,32,9,0,2,0,0,65089.38,1
15588904,Balashova,692,NY,Male,33,9,0,1,1,0,113505.93,0
15662337,Baldwin,744,NJ,Female,50,1,121498.11,2,0,1,106061.47,0
15772781,Ball,703,NY,Female,51,3,0,3,1,1,77294.56,0
15743532,Ball,704,NJ,Male,27,5,147004.34,1,1,0,64381.33,0
15803750,Ball,750,CT,Female,33,3,161801.47,1,0,1,153288.97,0
15784761,Ballard,554,CT,Female,46,7,87603.35,3,0,1,96929.24,0
15664270,Balsillie,692,NJ,Male,45,6,142084.04,4,1,0,188305.85,0
15793688,Bancks,669,NY,Male,50,9,201009.64,1,1,0,158032.5,0
15658716,Banks,667,NJ,Female,37,5,92171.35,3,1,0,178106.34,0
15586236,Banks,704,NY,Male,31,5,132084.66,3,1,1,54474.48,0
15684319,Baranova,780,NJ,Female,37,10,95196.26,1,1,0,126310.39,0
15584536,Barber,720,NJ,Male,46,3,97042.6,1,1,1,133516.51,0
15699772,Barclay,428,NJ,Female,40,3,129248.11,2,1,0,72876.43,0
15650026,Barclay-Harvey,513,NY,Male,44,1,63562.02,2,0,1,52629.73,0
15637977,Barese,542,NJ,Male,25,8,139330.1,1,0,0,54372.37,1
15713440,Barese,519,NJ,Female,21,1,151701.45,3,1,1,170138.68,0
15724321,Baresi,516,NJ,Female,47,9,128298.74,1,0,0,149614.17,0
15813412,Barlow,721,NY,Female,55,3,44020.89,1,1,0,65864.4,0
15647259,Barnett,643,CT,Male,35,2,0,2,0,0,67979.35,1
15643188,Barnett,671,NJ,Female,47,7,114603.76,2,1,0,153194.32,0
15720050,Barrett,727,NY,Female,28,2,110997.76,1,1,0,101433.76,1
15640074,Barrett,666,CT,Female,47,5,0,1,0,0,166650.9,0
15591995,Barry,757,NJ,Male,26,8,121581.56,2,1,1,127059.04,1
15609011,Barry,480,CT,Male,47,8,75408.33,1,1,0,25887.89,0
15734008,Bartlett,727,NJ,Male,59,5,152581.06,1,1,0,71830.1,0
15701037,Barton,578,NY,Male,39,2,0,2,1,0,70563.9,1
15693376,Baryshnikov,741,CT,Male,43,0,0,2,1,1,2920.63,0
15714575,Batt,742,NJ,Female,44,8,107926.02,1,0,1,17375.27,0
15619801,Batty,548,NY,Female,33,1,80107.83,2,0,1,82245.67,1
15714466,Baxter,846,NY,Female,41,5,0,3,1,0,3440.47,0
15575935,Baxter,673,NY,Male,59,0,178058.06,2,0,1,21063.71,0
15701319,Baxter,614,NJ,Female,37,6,96340.81,2,1,1,139377.24,0
15811690,Bayley,793,NJ,Male,54,2,128966.13,1,0,0,18633.4,0
15801256,Bazhenov,746,CT,Male,49,7,0,2,0,1,10096.25,1
15674922,Beavers,710,NY,Male,54,6,171137.62,1,1,1,167023.95,0
15677796,Becher,766,NJ,Male,47,9,129289.98,1,1,0,169935.46,0
15606641,Beggs,762,NJ,Male,56,10,100260.88,3,1,1,77142.42,0
15803689,Begum,647,NJ,Female,51,1,119741.77,2,0,0,54954.51,0
15724858,Begum,688,NY,Female,54,9,0,1,1,0,191212.63,0
15641158,Belcher,739,NJ,Male,32,3,102128.27,1,1,0,63981.37,0
15809830,Belisario,630,NY,Male,50,8,0,2,0,1,79377.45,1
15679429,Bell,694,NY,Male,32,0,91956.49,1,1,1,59961.81,1
15720637,Bell,710,NJ,Female,46,10,120530.34,1,1,0,166586.99,0
15701936,Bell,467,NJ,Male,28,10,126315.26,1,1,0,32349.29,0
15668460,Bellucci,466,NY,Male,29,6,0,2,1,1,2797.27,1
15649292,Bellucci,748,NY,Female,49,7,29602.08,1,0,0,163550.58,0
15749583,Bellucci,686,NJ,Female,38,2,93569.86,3,0,0,10137.34,0
15773868,Belov,653,NJ,Female,37,3,125734.2,2,1,0,134625.09,0
15659677,Beluchi,746,NY,Male,47,8,142382.03,1,1,1,62086.62,1
15702442,Benson,586,NJ,Female,56,9,100781.75,2,1,1,54448.41,1
15668669,Benson,423,NY,Female,36,5,97665.61,1,1,0,118372.55,0
15628219,Benson,665,NJ,Female,37,3,111911.63,1,1,1,110359.68,0
15576196,Benson,743,CT,Female,48,5,118207.69,2,0,0,186489.14,0
15570289,Benson,697,NJ,Male,43,8,103409.16,1,1,0,66893.28,0
15799825,Bentley,583,NY,Female,44,8,0,2,1,1,27431.62,1
15575759,Bentley,583,CT,Female,40,3,54428.37,1,1,0,109638.78,0
15698335,Bergamaschi,504,NY,Female,73,8,0,1,1,1,34595.58,1
15571221,Bergamaschi,747,NJ,Male,58,7,116313.57,1,1,1,190696.35,0
15585198,Bergamaschi,715,NY,Male,41,4,94267.9,1,0,1,152821.12,0
15795759,Bergamaschi,698,NJ,Female,52,1,107906.75,1,1,0,168886.39,0
15797165,Bergamaschi,703,NY,Male,56,9,0,1,0,0,85547.33,0
15651900,Bergamaschi,782,NJ,Female,53,1,81571.05,1,1,0,182960.46,0
15762169,Bergman,556,NJ,Male,37,9,145018.64,2,1,0,90928.02,0
15603554,Berkeley,513,NY,Female,45,0,164649.52,3,1,0,49915.52,0
15801218,Bermudez,675,NY,Male,49,8,135133.39,1,0,1,179521.24,0
15680666,Berry,579,CT,Female,39,2,151963.26,2,1,0,158948.63,1
15619955,Bevington,733,NJ,Male,34,3,100337.96,3,1,0,48559.19,0
15581036,Beyer,712,NJ,Female,40,3,109308.79,2,1,0,120158.72,0
15577359,Bezrukov,767,CT,Male,47,5,0,1,1,0,121964.46,0
15755084,Bezrukova,531,NY,Male,37,7,121854.45,1,1,0,147521.35,1
15676571,Bezrukova,850,NY,Male,55,6,0,1,1,0,944.41,0
15644692,Bibb,546,NY,Female,47,8,0,1,1,1,66408.01,0
15733973,Bibi,850,NY,Female,42,8,0,1,1,0,19632.64,0
15651674,Billson,438,CT,Female,54,2,0,1,0,0,191763.07,0
15685706,Bird,731,NY,Female,40,7,118991.79,1,1,1,156048.64,1
15743456,Birnie,715,NY,Female,32,10,0,2,1,0,60907.49,1
15568328,Black,488,NY,Female,22,6,0,2,1,1,66393.89,1
15732334,Black,653,NY,Female,40,0,0,2,1,0,35795.85,1
15633608,Black,641,NY,Male,33,2,146193.6,2,1,1,55796.83,0
15664547,Black,760,NY,Male,37,7,0,1,0,0,32863.24,0
15606849,Blackall,698,NY,Female,27,1,94920.71,1,1,1,40339.9,1
15761554,Blackburn,581,NY,Male,54,4,89299.81,1,0,0,5558.47,0
15580629,Blackwood,604,NY,Male,31,6,134837.58,1,1,0,192029.19,1
15604706,Blake,581,NJ,Male,38,1,133105.47,1,1,0,105732.9,0
15746333,Blake,562,NY,Female,57,3,0,3,1,0,6554.97,0
15792862,Blinova,653,NJ,Male,41,1,104584.11,1,1,0,15126.32,0
15726720,Blinova,480,NY,Female,40,7,0,1,1,0,170332.67,0
15677921,Bobrov,720,NJ,Male,60,9,115920.62,2,0,0,157552.08,0
15669011,Bocharova,659,NY,Female,44,9,23503.31,1,0,1,169862.01,0
15768763,Bogdanov,562,NY,Male,37,2,0,1,0,1,52525.15,0
15768342,Bolton,718,NY,Male,52,8,79475.3,3,1,1,32421.32,0
15754577,Boni,556,NY,Female,51,8,61354.14,1,1,0,198810.65,0
15661473,Boni,780,NJ,Male,51,4,126725.25,1,1,0,195259.31,0
15603135,Boni,634,NJ,Female,59,3,95727.05,1,0,0,97939.4,0
15690079,Boniwell,591,CT,Male,30,8,124857.69,2,0,0,50485.7,1
15616859,Bonwick,602,NJ,Female,43,2,113641.49,4,1,0,115116.35,0
15738501,Booth,601,NJ,Male,48,9,163630.76,1,0,1,41816.49,0
15779581,Bottrill,734,CT,Female,43,3,55853.33,2,0,1,94811.85,0
15656086,Bovee,542,CT,Male,54,8,105770.14,1,0,1,140929.98,0
15710012,Bowen,738,CT,Male,44,2,0,2,1,0,43018.82,0
15622370,Boyle,813,NJ,Male,30,1,116416.94,1,0,1,85808.22,1
15806467,Boyle,568,NJ,Male,40,1,99282.63,1,0,0,134600.94,0
15731790,Boyle,697,NJ,Female,38,6,132591.36,1,1,1,7387.8,0
15771742,Boyle,580,NJ,Male,38,9,115442.19,2,1,0,128481.5,0
15751455,Boyle,469,NY,Female,48,5,0,1,1,0,160529.71,0
15593425,Bracewell,662,CT,Female,54,1,187997.15,1,0,0,111442.71,0
15752342,Bradley,704,NJ,Female,54,6,133656.91,3,1,0,145071.33,0
15674678,Bradley,731,NJ,Female,43,9,79120.27,1,0,0,548.52,0
15718289,Bradley,553,NJ,Male,46,3,82291.1,1,1,0,112549.99,0
15641860,Bradley,764,NJ,Male,34,6,108760.27,2,1,0,166324.79,0
15752801,Bradshaw,518,NJ,Male,29,9,125961.74,2,1,0,160303.08,0
15658589,Brady,850,CT,Male,38,2,94652.04,1,1,1,171960.76,1
15727317,Brady,533,NJ,Female,49,1,102286.6,3,1,0,69409.37,0
15680234,Bray,667,NJ,Male,27,2,138032.15,1,1,0,166317.71,1
15768137,Bray,667,CT,Female,23,6,136100.69,2,0,0,169669.33,0
15757867,Bray,570,NY,Female,30,10,176173.52,1,1,0,97045.32,0
15804394,Brenan,663,NJ,Male,32,8,130627.66,1,1,0,47161.25,0
15719302,Brennan,765,NY,Female,50,9,126547.8,1,1,1,79579.94,0
15797475,Brennan,720,NY,Male,44,3,86102.27,1,1,0,180134.88,0
15571586,Briggs,524,CT,Male,29,3,159035.45,1,1,0,2705.31,0
15757559,Broadhurst,595,NY,Female,53,7,0,2,1,0,41371.68,0
15759067,Bromby,537,NJ,Female,37,7,158411.95,4,1,1,117690.58,0
15650488,Bromley,492,NY,Female,48,6,127253.98,1,1,1,92144.09,0
15724223,Bronner,545,NY,Female,55,5,0,1,0,0,10034.77,0
15593782,Brookes,816,NJ,Female,38,5,130878.75,3,1,0,71905.77,0
15665283,Brookes,610,NY,Female,57,7,72092.95,4,0,1,113228.82,0
15766017,Brookman,615,NJ,Male,58,3,72309.3,1,1,1,85687.09,0
15665159,Brooks,727,NY,Male,61,0,128213.96,2,1,1,188729.08,0
15680243,Brown,792,NY,Male,19,7,143390.51,1,1,0,33282.84,1
15701176,Brown,663,NY,Male,26,5,141462.13,1,1,0,440.2,1
15698872,Brown,633,CT,Female,39,2,0,2,0,0,191207.03,1
15784918,Brown,498,NJ,Male,35,2,121968.11,2,0,1,188343.05,1
15651533,Brown,570,NJ,Female,50,5,129293.74,1,1,0,177805.44,0
15598086,Brown,624,NY,Female,45,3,68639.57,1,1,0,168002.31,0
15678944,Brown,655,NJ,Female,32,6,130935.56,1,1,0,9241.83,0
15679738,Brown,527,CT,Female,35,8,0,1,1,0,98031.53,0
15753840,Brown,524,CT,Female,32,6,0,1,1,1,132861.9,0
15613189,Browne,774,NY,Female,52,2,56580.93,1,1,0,113266.28,0
15587647,Browne,850,NJ,Female,66,0,127120.62,1,0,1,118929.64,0
15696061,Brownless,581,NJ,Female,34,1,101633.04,1,1,0,110431.51,1
15567630,Bruce,721,NJ,Male,40,6,100275.88,1,1,0,138564.48,0
15732175,Bruno,776,NY,Male,37,2,0,1,0,1,8065,1
15722701,Bruno,594,NJ,Male,18,1,132694.73,1,1,0,167689.56,1
15807993,Bruno,588,NJ,Female,30,0,110148.49,1,1,0,5790.9,0
15796074,Bruno,717,NY,Female,36,2,99472.76,2,1,0,94274.72,0
15796764,Bruno,684,NJ,Female,56,3,127585.98,3,1,1,80593.49,0
15568849,Bryan,540,CT,Female,31,10,118158.74,1,1,1,158027.57,1
15629244,Bryant,635,CT,Male,50,7,159453.64,2,0,0,54560.79,0
15664897,Bryant,682,NY,Female,35,2,181166.44,1,1,1,63737.19,0
15650424,Bryant,641,NY,Female,48,3,147341.43,1,1,1,157458.61,0
15649150,Buddicom,531,NY,Female,53,5,127642.44,1,1,0,141501.45,0
15627352,Bulgakov,459,NJ,Male,46,7,110356.42,1,1,0,4969.13,0
15619514,Bull,507,NJ,Male,40,3,120105.43,1,1,0,92075.01,0
15672754,Burbidge,498,NJ,Male,42,3,152039.7,1,1,1,53445.17,0
15815095,Burfitt,850,CT,Male,54,7,108185.81,2,0,0,24093.4,0
15603221,Burgess,696,NJ,Male,32,4,84421.62,1,0,1,52314.71,1
15800434,Burgess,811,NJ,Male,52,10,76915.4,1,0,0,146359.81,0
15687658,Burgin,716,NY,Female,52,7,65971.61,2,1,0,14608,0
15635116,Burgos,659,CT,Male,60,2,0,1,1,0,177480.45,0
15592387,Burke,566,NY,Male,30,5,0,1,1,0,54926.51,0
15809286,Burke,631,NJ,Male,37,8,138292.64,2,0,0,152422.91,0
15709920,Burke,479,NY,Female,33,2,208165.53,1,0,0,50774.81,0
15570002,Burlingame,625,NJ,Female,55,8,118772.71,4,0,0,135853.62,0
15637876,Burns,663,NJ,Female,36,6,77253.5,1,0,0,35817.97,0
15642041,Burns,727,NJ,Male,40,1,93051.64,2,1,0,71865.31,0
15778418,Burns,637,NJ,Male,40,9,154309.67,1,1,1,125334.16,0
15772559,Burrows,790,NY,Female,47,10,148636.21,1,0,1,16119.96,0
15567860,Burrows,581,CT,Female,44,7,189318.16,2,1,0,45026.23,0
15628824,Burton,665,NY,Female,37,5,160389.82,1,0,1,183542.08,1
15694444,Buttenshaw,648,NJ,Female,32,8,157138.99,3,1,0,190994.48,0
15754796,Byrne,487,NJ,Female,46,4,135070.58,2,1,1,44244.49,0
15720511,Byrne,547,NJ,Male,41,3,151191.31,1,1,0,175295.89,0
15780909,Caffyn,769,NJ,Male,34,7,115101.5,1,0,0,57841.89,0
15578238,Calabrese,727,NY,Male,47,7,0,2,1,0,193305.35,1
15665168,Calabrese,681,NJ,Female,44,3,105206.7,2,1,1,163558.36,1
15713655,Calabrese,720,NY,Female,38,10,0,2,1,1,56229.72,0
15624519,Calabrese,656,NJ,Female,49,9,97092.87,1,1,0,74771.22,0
15612095,Calabrese,751,NY,Female,48,9,0,1,1,0,137508.42,0
15650591,Calabrese,809,NJ,Male,50,10,118098.62,1,1,1,100720.02,0
15767414,Calabresi,591,NY,Male,40,2,99886.42,2,1,1,88695.19,1
15585106,Calabresi,492,NJ,Female,38,8,57068.43,2,1,0,188974.81,1
15645572,Calabresi,743,NY,Female,40,6,0,1,1,0,28280.8,0
15592000,Calabresi,781,NJ,Female,48,9,82794.18,1,1,0,124720.68,0
15793307,Calabresi,724,CT,Female,41,4,142880.28,3,0,0,185541.2,0
15679410,Caldwell,729,NY,Female,62,4,140549.4,1,1,0,30990.16,0
15601811,Caldwell,668,NY,Female,53,10,110240.04,1,0,0,183980.56,0
15640280,Cameron,850,NY,Male,39,4,127771.35,2,0,1,151738.54,1
15703923,Cameron,744,NJ,Male,41,7,190409.34,2,1,1,138361.48,1
15658052,Cameron,626,NY,Female,44,10,81553.93,1,1,0,20063.63,0
15606397,Cameron,577,NJ,Female,44,1,152086.15,1,0,1,44719.5,0
15684868,Cameron,668,NJ,Male,56,9,110993.79,1,1,0,134396.64,0
15808544,Cameron,747,NY,Female,40,3,0,1,0,0,57817.84,0
15766044,Cameron,642,NJ,Male,49,4,120688.61,1,1,0,24770.22,0
15645371,Cameron,613,NJ,Female,51,7,147262.11,1,1,1,53630.9,0
15801441,Campbell,670,NJ,Female,35,2,79585.96,1,0,1,198802.9,1
15664610,Campbell,459,NJ,Male,48,4,133994.52,1,1,1,19287.06,0
15758813,Campbell,350,NJ,Male,39,0,109733.2,2,0,0,123602.11,0
15701687,Campbell,664,CT,Male,44,7,77526.66,3,0,0,57338.56,0
15609735,Campbell,533,NJ,Male,51,6,127545.56,2,0,0,79559.02,0
15761132,Capon,682,CT,Male,46,7,128029.72,1,1,1,62615.35,1
15814209,Capon,814,NY,Male,31,1,118870.92,1,1,0,101704.19,1
15593510,Capon,638,NJ,Female,33,5,129335.65,1,1,1,56585.2,0
15745326,Carandini,538,NY,Female,62,3,75051.49,1,0,0,17682.02,0
15638882,Cardell,710,NJ,Female,62,9,148214.36,1,1,0,48571.14,0
15593636,Cardus,657,NY,Female,39,4,80293.81,1,1,0,97192.76,1
15756610,Carlson,657,NJ,Female,38,5,123770.46,1,0,0,47019.66,0
15759066,Carpenter,483,NY,Female,44,5,136836.49,1,1,0,192359.9,0
15640409,Carpenter,817,NJ,Female,46,0,89087.89,1,0,1,87941.85,0
15695103,Carr,790,CT,Male,37,6,0,2,1,1,119484.01,1
15749905,Carr,698,CT,Female,47,6,0,1,1,0,50213.81,0
15792934,Carruthers,661,NY,Male,26,8,0,2,0,0,196875.87,1
15639049,Cartagena,489,NY,Female,31,7,139395.08,1,0,1,6120.84,1
15657349,Carter,803,NJ,Female,50,8,98173.02,1,0,0,22457.25,0
15808526,Cartwright,783,NJ,Female,58,3,127539.3,1,1,1,96590.39,0
15705009,Cartwright,649,NY,Female,56,8,156974.26,1,1,0,89405.26,0
15814116,Castiglione,583,NY,Female,42,7,0,2,1,0,144039.05,1
15671591,Castiglione,439,CT,Male,52,3,96196.24,4,1,0,198874.52,0
15808175,Castiglione,557,NY,Female,39,7,49572.73,1,1,0,115287.99,0
15746553,Castles,526,NJ,Male,50,5,124233.24,1,0,1,159456.87,0
15676895,Cattaneo,547,NJ,Female,39,6,74596.15,3,1,1,85746.52,0
15751203,Cattaneo,702,NY,Male,26,5,56738.47,2,1,1,100442.22,0
15620505,Celis,594,CT,Female,24,0,97378.54,1,1,1,71405.17,1
15609286,Chadwick,702,NY,Male,37,10,150525.8,1,1,1,94728.49,1
15759874,Chamberlain,532,NY,Male,44,3,148595.55,1,1,0,74838.64,0
15690796,Chambers,516,NY,Male,37,8,0,1,1,0,101834.58,1
15640078,Chambers,660,NJ,Female,39,5,135134.99,1,1,0,173683,0
15774401,Chambers,773,CT,Male,51,4,0,2,0,0,123587.83,0
15699095,Chandler,603,NY,Female,24,3,0,1,1,1,198826.03,0
15684173,Chang,687,CT,Female,44,7,0,3,1,0,155853.52,0
15607312,Chang,648,CT,Female,49,10,0,2,1,1,159835.78,0
15813113,Chang,795,CT,Female,56,5,0,1,1,0,35418.69,0
15801336,Chang,649,NJ,Female,37,8,114737.26,1,1,1,106655.88,0
15727353,Chang,650,NY,Female,64,7,142028.36,1,1,0,32275.09,0
15711618,Chang,704,NJ,Female,39,1,124640.51,1,1,0,116511.12,0
15607275,Chang,850,CT,Male,39,6,206014.94,2,0,1,42774.84,0
15585580,Chang,796,NJ,Female,52,9,167194.36,1,1,1,62808.93,0
15598744,Chang,576,NJ,Female,71,6,140273.47,1,1,1,193135.25,0
15785352,Chang,606,NY,Male,37,6,82373.94,1,0,0,172526.9,0
15603764,Chang,560,NY,Male,49,4,0,1,1,1,100075.1,0
15664432,Chao,727,CT,Female,49,7,96296.78,1,1,0,190457.87,0
15664860,Chao,692,CT,Female,47,3,0,2,1,0,150802.41,0
15699247,Chapman,791,NY,Female,44,5,0,2,1,1,123977.86,0
15769915,Charlton,643,CT,Female,20,0,133313.34,1,1,1,3965.69,1
15721007,Charlton,776,NJ,Male,33,8,115130.34,1,0,0,129525.5,0
15675518,Charlton,499,CT,Female,53,1,75225.53,2,0,0,144849.1,0
15567506,Cheatham,738,NJ,Female,40,6,114940.67,2,1,1,194895.57,0
15794580,Chen,599,NY,Male,58,4,0,1,0,0,176407.15,0
15812198,Chen,543,NJ,Male,48,1,100900.5,1,0,0,33310.72,0
15648967,Chen,698,NJ,Female,64,1,169362.43,1,1,0,84760.32,0
15702912,Chen,752,CT,Female,35,2,0,1,1,0,44335.54,0
15784526,Chen,616,NY,Male,44,5,102016.38,1,0,1,178235.37,0
15590097,Cheng,537,CT,Female,33,7,136082,1,1,0,62746.54,1
15636860,Cheng,625,NY,Male,43,4,122351.29,1,1,0,71216.6,1
15793949,Cheng,726,NY,Female,48,4,0,1,1,0,114020.06,0
15570601,Cheng,785,NY,Female,47,9,122031.55,1,1,1,33823.5,0
15594515,Cheng,568,NY,Female,44,7,0,2,0,0,62370.67,0
15737998,Cheng,529,NY,Male,46,8,0,1,0,0,126511.94,0
15732438,Cheng,561,NY,Male,43,4,0,4,0,0,18522.91,0
